layer_id	layer_name	comp_time	comm_size
0	attention	147806	0
0	mlp	32505	0
1	attention	147806	0
1	mlp	32505	0
2	attention	147806	0
2	mlp	32505	0
3	attention	147806	0
3	moe	3000226	173824
4	attention	147806	0
4	moe	3000226	173824
5	attention	147806	0
5	moe	3000226	173824
6	attention	147806	0
6	moe	3000226	173824
7	attention	147806	0
7	moe	3000226	173824
8	attention	147806	0
8	moe	3000226	173824
9	attention	147806	0
9	moe	3000226	173824
10	attention	147806	0
10	moe	3000226	173824
11	attention	147806	0
11	moe	3000226	173824
12	attention	147806	0
12	moe	3000226	173824
13	attention	147806	0
13	moe	3000226	173824
14	attention	147806	0
14	moe	3000226	173824
15	attention	147806	0
15	moe	3000226	173824
16	attention	147806	0
16	moe	3000226	173824
17	attention	147806	0
17	moe	3000226	173824
18	attention	147806	0
18	moe	3000226	173824
19	attention	147806	0
19	moe	3000226	173824
20	attention	147806	0
20	moe	3000226	173824
21	attention	147806	0
21	moe	3000226	173824
22	attention	147806	0
22	moe	3000226	173824
23	attention	147806	0
23	moe	3000226	173824
24	attention	147806	0
24	moe	3000226	173824
25	attention	147806	0
25	moe	3000226	173824
26	attention	147806	0
26	moe	3000226	173824
27	attention	147806	0
27	moe	3000226	173824
28	attention	147806	0
28	moe	3000226	173824
29	attention	147806	0
29	moe	3000226	173824
30	attention	147806	0
30	moe	3000226	173824
31	attention	147806	0
31	moe	3000226	173824
32	attention	147806	0
32	moe	3000226	173824
33	attention	147806	0
33	moe	3000226	173824
34	attention	147806	0
34	moe	3000226	173824
35	attention	147806	0
35	moe	3000226	173824
36	attention	147806	0
36	moe	3000226	173824
37	attention	147806	0
37	moe	3000226	173824
38	attention	147806	0
38	moe	3000226	173824
39	attention	147806	0
39	moe	3000226	173824
40	attention	147806	0
40	moe	3000226	173824
41	attention	147806	0
41	moe	3000226	173824
42	attention	147806	0
42	moe	3000226	173824
43	attention	147806	0
43	moe	3000226	173824
44	attention	147806	0
44	moe	3000226	173824
45	attention	147806	0
45	moe	3000226	173824
46	attention	147806	0
46	moe	3000226	173824
47	attention	147806	0
47	moe	3000226	173824
48	attention	147806	0
48	moe	3000226	173824
49	attention	147806	0
49	moe	3000226	173824
50	attention	147806	0
50	moe	3000226	173824
51	attention	147806	0
51	moe	3000226	173824
52	attention	147806	0
52	moe	3000226	173824
53	attention	147806	0
53	moe	3000226	173824
54	attention	147806	0
54	moe	3000226	173824
55	attention	147806	0
55	moe	3000226	173824
56	attention	147806	0
56	moe	3000226	173824
57	attention	147806	0
57	moe	3000226	173824
58	attention	147806	0
58	moe	3000226	173824
59	attention	147806	0
59	moe	3000226	173824
60	attention	147806	0
60	moe	3000226	173824
