layer_id	layer_name	comp_time	comm_size
0	attention	3149326	0
0	mlp	179960	0
1	attention	3149326	0
1	mlp	179960	0
2	attention	3149326	0
2	mlp	179960	0
3	attention	3149326	0
3	moe	5935160	88997888
4	attention	3149326	0
4	moe	5935160	88997888
5	attention	3149326	0
5	moe	5935160	88997888
6	attention	3149326	0
6	moe	5935160	88997888
7	attention	3149326	0
7	moe	5935160	88997888
8	attention	3149326	0
8	moe	5935160	88997888
9	attention	3149326	0
9	moe	5935160	88997888
10	attention	3149326	0
10	moe	5935160	88997888
11	attention	3149326	0
11	moe	5935160	88997888
12	attention	3149326	0
12	moe	5935160	88997888
13	attention	3149326	0
13	moe	5935160	88997888
14	attention	3149326	0
14	moe	5935160	88997888
15	attention	3149326	0
15	moe	5935160	88997888
16	attention	3149326	0
16	moe	5935160	88997888
17	attention	3149326	0
17	moe	5935160	88997888
18	attention	3149326	0
18	moe	5935160	88997888
19	attention	3149326	0
19	moe	5935160	88997888
20	attention	3149326	0
20	moe	5935160	88997888
21	attention	3149326	0
21	moe	5935160	88997888
22	attention	3149326	0
22	moe	5935160	88997888
23	attention	3149326	0
23	moe	5935160	88997888
24	attention	3149326	0
24	moe	5935160	88997888
25	attention	3149326	0
25	moe	5935160	88997888
26	attention	3149326	0
26	moe	5935160	88997888
27	attention	3149326	0
27	moe	5935160	88997888
28	attention	3149326	0
28	moe	5935160	88997888
29	attention	3149326	0
29	moe	5935160	88997888
30	attention	3149326	0
30	moe	5935160	88997888
31	attention	3149326	0
31	moe	5935160	88997888
32	attention	3149326	0
32	moe	5935160	88997888
33	attention	3149326	0
33	moe	5935160	88997888
34	attention	3149326	0
34	moe	5935160	88997888
35	attention	3149326	0
35	moe	5935160	88997888
36	attention	3149326	0
36	moe	5935160	88997888
37	attention	3149326	0
37	moe	5935160	88997888
38	attention	3149326	0
38	moe	5935160	88997888
39	attention	3149326	0
39	moe	5935160	88997888
40	attention	3149326	0
40	moe	5935160	88997888
41	attention	3149326	0
41	moe	5935160	88997888
42	attention	3149326	0
42	moe	5935160	88997888
43	attention	3149326	0
43	moe	5935160	88997888
44	attention	3149326	0
44	moe	5935160	88997888
45	attention	3149326	0
45	moe	5935160	88997888
46	attention	3149326	0
46	moe	5935160	88997888
47	attention	3149326	0
47	moe	5935160	88997888
48	attention	3149326	0
48	moe	5935160	88997888
49	attention	3149326	0
49	moe	5935160	88997888
50	attention	3149326	0
50	moe	5935160	88997888
51	attention	3149326	0
51	moe	5935160	88997888
52	attention	3149326	0
52	moe	5935160	88997888
53	attention	3149326	0
53	moe	5935160	88997888
54	attention	3149326	0
54	moe	5935160	88997888
55	attention	3149326	0
55	moe	5935160	88997888
56	attention	3149326	0
56	moe	5935160	88997888
57	attention	3149326	0
57	moe	5935160	88997888
58	attention	3149326	0
58	moe	5935160	88997888
59	attention	3149326	0
59	moe	5935160	88997888
60	attention	3149326	0
60	moe	5935160	88997888
